Turbine ID,Northing Bias - 2022,Northing bias from calibrated yaw sensor fall 2023
0,6.8,
1,-7.7,
2,11.9,
3,10.8,
4,8.3,
5,9.3,
6,6.8,
7,6.1,
8,13.9,
9,3.1,
10,9.6,
11,-3.2,
12,6.5,
13,8.5,
14,3.6,
15,9,
16,8.1,
17,3.6,
18,5.7,
19,22.9,
20,12.5,
21,14.5,
22,18.5,
23,10.8,
24,11.3,
25,15.9,
26,5.8,
27,14,
28,9.2,
29,11.6,
30,4.4,
31,12.6,
32,8.3,
33,7.6,
34,11.9,
35,11.9,
36,7.9,
37,-24.7,
38,12.2,
39,-101.2,
40,10.1,9.6
41,7,
42,11.6,
43,13.5,
44,28.3,
45,15.9,
46,9.9,
47,14.2,
48,19.2,
49,14.9,
50,15,
51,10.7,
52,-48,
53,15.2,
54,15.7,15.2
55,9.4,
56,8,
57,6.5,
58,9.9,
59,15.3,
60,6.7,
61,-3,
62,11.8,
63,11.7,
64,25.2,
65,10.5,
66,11,10.1
67,14.7,
68,6.1,
69,10.9,
70,6.6,
71,21.7,
72,-20.6,
73,2.3,
74,16.4,
75,7.2,
76,12.3,
77,-6.7,
78,14.5,
79,13.3,
80,3.3,
81,9.5,
82,15.7,
83,9.8,
84,3.4,
85,-1,
86,13.2,
87,13.2,